Time dt accelX accelY accelZ omegaX omegaY omegaZ
1534367450.95000195503234863281 1534367450.95000195503234863281 -0.0066121821291744709014892578125 0.009362905286252498626708984375 -0.1028141677379608154296875 0.000792218896094709634780883789062 -0.000488407560624182224273681640625 -0.00134418846573680639266967773438
1534367451.00001096725463867188 0.0500090122222900390625 -0.0224716924130916595458984375 -0.0305577851831912994384765625 -0.086648769676685333251953125 0.000264789472566917538642883300781 -0.00114007783122360706329345703125 -0.000805517483968287706375122070312
1534367451.05000209808349609375 0.049991130828857421875 -0.02794380299746990203857421875 -0.02865666337311267852783203125 -0.087795235216617584228515625 0.000222020011278800666332244873047 -0.00135912117548286914825439453125 -0.000102026031527202576398849487305
1534367451.10000491142272949219 0.0500028133392333984375 -0.0240013264119625091552734375 -0.007206429727375507354736328125 -0.08030737936496734619140625 0.000179357273736968636512756347656 0.000257821608101949095726013183594 0.000230573365115560591220855712891
1534367451.15011000633239746094 0.05010509490966796875 -0.02019664831459522247314453125 0.02043069899082183837890625 -0.08502368628978729248046875 -0.000845429312903434038162231445312 0.000875818834174424409866333007812 4.68716680188663303852081298828e-05
1534367451.20000290870666503906 0.049892902374267578125 -0.00755665637552738189697265625 0.0384349711239337921142578125 -0.07450695335865020751953125 0.000368685723515227437019348144531 0.00101316149812191724777221679688 1.80879251274745911359786987305e-05
1534367451.25001692771911621094 0.050014019012451171875 0.0022782036103308200836181640625 -0.00189393723849207162857055664062 -0.0975852310657501220703125 -0.000566215428989380598068237304688 0.000382635480491444468498229980469 -0.00140462454874068498611450195312
1534367451.30000400543212890625 0.0499870777130126953125 -0.0341853201389312744140625 -0.033862940967082977294921875 -0.07785499095916748046875 -0.00119188812095671892166137695312 -0.000638403755147010087966918945312 -0.000277415063465014100074768066406
1534367451.35000300407409667969 0.0499989986419677734375 0.010578505694866180419921875 0.0031440448947250843048095703125 -0.0513955689966678619384765625 0.00115192763041704893112182617188 -0.00157124293036758899688720703125 -0.000592925469391047954559326171875
1534367451.40001893043518066406 0 -0.0537957809865474700927734375 0.00126530288252979516983032226562 -0.124472983181476593017578125 0.000434639659943059086799621582031 -0.00135470717214047908782958984375 -0.00191124586854130029678344726562
1534367451.45000195503234863281 0.04998302459716796875 -0.02935703098773956298828125 -0.012091712094843387603759765625 -0.05356879532337188720703125 0.000117159186629578471183776855469 8.26818213681690394878387451172e-05 0.000628927431534975767135620117188
1534367451.50013899803161621094 0.050137042999267578125 -0.010812856256961822509765625 0.00720413587987422943115234375 -0.082513235509395599365234375 0.00020346231758594512939453125 0.0005202027969062328338623046875 -0.000212010723771527409553527832031
1534367451.55000090599060058594 0.049861907958984375 -0.0132926814258098602294921875 0.0135164372622966766357421875 -0.084983654320240020751953125 -0.000349151872796937823295593261719 -0.0011081234551966190338134765625 -0.000635045405942946672439575195312
1534367451.60004711151123046875 0.0500462055206298828125 -0.01650216989219188690185546875 -0.0078277587890625 -0.06143987178802490234375 0.000886958674527704715728759765625 -0.00155075895600020885467529296875 -0.000242309295572340488433837890625
1534367451.65000104904174804688 0.049953937530517578125 -0.0382363833487033843994140625 -0.009553004987537860870361328125 -0.09415401518344879150390625 0.000931051967199891805648803710938 -0.00178065255749970674514770507812 -0.000788495584856718778610229492188
1534367451.70000505447387695312 0.05000400543212890625 -0.036327414214611053466796875 -0.01048377715051174163818359375 -0.034914754331111907958984375 0.000394974282244220376014709472656 -0.00102781027089804410934448242188 -0.000868801551405340433120727539062
1534367451.75000905990600585938 0.05000400543212890625 -0.051754437386989593505859375 -0.01860072277486324310302734375 -0.09611259400844573974609375 0.000864475674461573362350463867188 0.00134302384685724973678588867188 0.000191091428860090672969818115234
1534367451.8000030517578125 0.049993991851806640625 -0.01820881105959415435791015625 -0.00113683065865188837051391601562 -0.070509769022464752197265625 0.0007648603059351444244384765625 0.0011253096163272857666015625 0.00124768191017210483551025390625
1534367451.85015797615051269531 0.0501549243927001953125 0.000234649647609330713748931884766 0.010916285216808319091796875 -0.067366413772106170654296875 0.000312079151626676321029663085938 0.00070584029890596866607666015625 0.00131639488972723484039306640625
1534367451.90000391006469726562 0.0498459339141845703125 0.009571097791194915771484375 0.01151614449918270111083984375 -0.100216321647167205810546875 0.000375231698853895068168640136719 -0.000711287953890860080718994140625 -0.00139227812178432941436767578125
1534367451.95002007484436035156 0.0500161647796630859375 -0.0279770307242870330810546875 0.010310151614248752593994140625 -0.06478546559810638427734375 -0.000449757848400622606277465820312 -0.00162112596444785594940185546875 -0.0008474178612232208251953125
1534367452.00001192092895507812 0.0499918460845947265625 -0.01562440395355224609375 0.0146052651107311248779296875 -0.06729646027088165283203125 0.000591089890804141759872436523438 -0.00179039244540035724639892578125 -0.000612447794992476701736450195312
1534367452.05000209808349609375 0.049990177154541015625 -0.02435250021517276763916015625 0.000113343747216276824474334716797 -0.093666560947895050048828125 0.000250675686402246356010437011719 -0.00105207285378128290176391601562 -0.00072364951483905315399169921875
1534367452.10003805160522460938 0.050035953521728515625 -0.037398047745227813720703125 -0.04005275666713714599609375 -0.0591672323644161224365234375 -0.00140406074933707714080810546875 -0.000747574318666011095046997070312 -0.00172062090132385492324829101562
1534367452.15000104904174804688 0.0499629974365234375 -0.0475746877491474151611328125 -0.0610103644430637359619140625 -0.075317271053791046142578125 7.08605730324052274227142333984e-05 0.00168479350395500659942626953125 -0.000857335166074335575103759765625
1534367452.20018506050109863281 0.0501840114593505859375 -0.03143273293972015380859375 -0.04802124202251434326171875 -0.093728087842464447021484375 -0.00113752984907478094100952148438 0.00246261083520948886871337890625 0.000594083801843225955963134765625
1534367452.2500019073486328125 0.0498168468475341796875 0.001485638320446014404296875 0.006751510314643383026123046875 -0.0506925396621227264404296875 -0.00181456620339304208755493164062 0.00113203353248536586761474609375 0.00120037386659532785415649414062
1534367452.30000209808349609375 0.05000019073486328125 -0.01609915681183338165283203125 0.0584554187953472137451171875 -0.0741136968135833740234375 -0.00115150515921413898468017578125 0.0013658185489475727081298828125 0.00156474590767174959182739257812
1534367452.35000205039978027344 0.0499999523162841796875 -0.0349327139556407928466796875 0.07283271849155426025390625 -0.0554196424782276153564453125 -0.00164964236319065093994140625 0.00142818107269704341888427734375 0.000726299011148512363433837890625
1534367452.40000295639038085938 0.0500009059906005859375 0.0044297059066593647003173828125 0.02263129688799381256103515625 -0.072876684367656707763671875 -0.000887475907802581787109375 0.002703468315303325653076171875 -0.000535162515006959438323974609375
1534367452.45005893707275390625 0.050055980682373046875 -0.02064303494989871978759765625 -0.049378521740436553955078125 -0.08989538252353668212890625 -0.001803399063646793365478515625 0.00130031083244830369949340820312 -0.00126074592117220163345336914062
1534367452.5000019073486328125 0.04994297027587890625 -0.045149631798267364501953125 -0.0787732899188995361328125 -0.03650186955928802490234375 -0.00107757130172103643417358398438 0.001219659112393856048583984375 0.000750747451093047857284545898438
1534367452.55020999908447265625 0.05020809173583984375 -0.01822755672037601470947265625 -0.065938614308834075927734375 -0.09268915653228759765625 0.000242895301198586821556091308594 0.0031887036748230457305908203125 0.00334048946388065814971923828125
1534367452.60000300407409667969 0.0497930049896240234375 0.0105946399271488189697265625 0.013890669681131839752197265625 -0.0635109841823577880859375 -0.000972158915828913450241088867188 0.000439484254457056522369384765625 0.000508227793034166097640991210938
